ticker,quarter,year,load_factor,asm_millions,rpm_millions,prasm,casm,fuel_cost_per_gallon,total_revenue_millions,passenger_revenue_millions,total_operating_expenses_millions,fuel_expense_millions,labor_cost_millions,employees_total
AAL,Q1,2024,81.5,70516,57473,16.25,17.82,2.86,12570,11458,12563,2980,3865,132800
AAL,Q2,2024,86.6,75263,65144,17.54,17.21,2.7,14333,13202,12939,3061,3950,137400
AAL,Q3,2024,86.6,75665,65502,16.55,17.92,2.5,13647,12523,13558,2874,4098,134200
AAL,Q4,2024,84.9,71504,60676,17.38,17.54,2.34,13661,12403,12537,2503,4108,133300
AAL,Q1,2025,80.6,69904,56356,16.3,18.34,2.48,12551,11391,12821,2587,4222,133100
AAL,Q2,2025,84.7,77636,65762,16.9,17.08,2.29,14392,13123,13257,2663,4382,138100
DAL,Q1,2024,83,65542,54207,16.98,20.04,2.76,13748,11131,13134,2598,3791,103000
DAL,Q2,2024,87,74656,65241,18.54,19.28,2.64,16658,13841,14391,2813,4012,103000
DAL,Q3,2024,87,76162,66310,17.21,18.75,2.53,15677,13107,14280,2747,4231,103000
DAL,Q4,2024,83,72034,60387,17.87,19.1,2.31,15560,12815,13843,2408,4127,103000
DAL,Q1,2025,81.4,68401,55678,16.78,19.69,2.45,14040,11480,13471,2410,4083,103000
DAL,Q2,2025,86,77645,66417,17.86,18.73,2.26,16648,13867,14546,2458,4402,103000
LUV,Q1,2024,78.3,42248,33087,13.52,15.91,2.92,6329,5712,6722,1531,2940,74695
LUV,Q2,2024,82.6,46250,38221,14.51,15.04,2.76,7354,6712,6956,1599,2999,74081
LUV,Q3,2024,81.2,45219,36735,13.82,15.11,2.55,6870,6250,6832,1417,3070,73463
LUV,Q4,2024,79.5,43533,34472,14.51,15.82,2.41,6930,6306,6652,1265,3231,72450
LUV,Q1,2025,73.9,41432,30629,14.02,16.05,2.49,6428,5811,6651,1249,3102,71506
LUV,Q2,2025,78.5,46996,36885,14.1,14.94,2.32,7244,6627,7019,1326,3262,72242
UAL,Q1,2024,80.1,71668,57427,15.79,17.36,2.88,12539,11313,12440,2954,3932,104500
UAL,Q2,2024,84.2,79678,67064,17.17,16.39,2.76,14986,13680,13057,3133,4098,106000
UAL,Q3,2024,85.3,81541,69549,16.63,16.28,2.65,14843,13561,13278,2993,4323,106500
UAL,Q4,2024,82.8,78298,64463,17.05,16.7,2.65,14695,13275,13192,2676,4325,107300
UAL,Q1,2025,79.2,75155,59517,15.78,16.77,2.53,13213,11860,12605,2701,4155,109200
UAL,Q2,2025,83.1,84347,70088,16.4,16.49,2.34,15236,13836,13911,2775,4413,111300
